setId,cardNumber,parallelId,parallelFamily,keywords,odds
2025-26 Topps Basketball,,Diamante,Format Exclusive,hanger exclusive,"hanger 1:1 packs"
2025-26 Topps Basketball,,Diamante Pink,Format Exclusive,hanger,"hanger 1:10 packs"
2025-26 Topps Basketball,,Diamante Gold,Format Exclusive,/50|hanger,"hanger 1:57 packs"
2025-26 Topps Basketball,,Season Tip-Off,Format Exclusive,blaster exclusive,"blaster 1:3 packs"
2025-26 Topps Basketball,,Crackleboard,Format Exclusive,costco super box,"super box 1:2 packs"
2025-26 Topps Basketball,,Aqua Holo Foil,Format Exclusive,retail,"retail 1:500 packs"
2025-26 Topps Basketball,,The Daily Dribble,Insert,newspaper|40 cards,"hobby 1:26; jumbo 1:7; blaster 1:26"
2025-26 Topps Basketball,,New School,Insert,1997-98 reboot|rookies|40 cards,"hobby 1:26; jumbo 1:7"
2025-26 Topps Basketball,,Levitation,Insert,dunk photography|20 cards,"hobby 1:52; jumbo 1:13"
2025-26 Topps Basketball,,No Limit,Insert,2000-01 reboot|rookies|40 cards,"hobby 1:10; jumbo 1:3"
2025-26 Topps Basketball,,Stars of the NBA,Insert,baseball crossover|30 cards,"hobby 1:13; jumbo 1:4"
2025-26 Topps Basketball,,Rise to Stardom,Insert,rookie update|20 cards,"hobby 1:19; jumbo 1:5"
2025-26 Topps Basketball,,MVP Vault,Insert,metallic mvps|10 cards,"hobby 1:10; jumbo 1:41"
2025-26 Topps Basketball,,Comic Court,Insert SSP,ssp|comic-book style|20 cards,"hobby 1:736; jumbo 1:217"
2025-26 Topps Basketball,,Home Court,Insert SSP,ssp|panoramic arenas|10 cards,"hobby 1:2400; jumbo 1:400"
2025-26 Topps Basketball,,1980-81 Topps Basketball,Insert,anniversary|99 cards,"hobby 1:11; jumbo 1:3; blaster 1:2"
2025-26 Topps Basketball,,All Kings,Insert SSP,die-cut crowns|25 cards,"hobby 1:2864; jumbo 1:727; blaster 1:6640"
2025-26 Topps Basketball,,Hardwood Stars,Insert SSP,20 cards,"hobby 1:1790; jumbo 1:455; blaster 1:4151"
2025-26 Topps Basketball,,Class of '25,Insert SSP,ssp|2025 draft rookies|20 cards,"hobby 1:3583; jumbo 1:910; blaster 1:8305"
2025-26 Topps Basketball,,8-Bit Ballers,Insert Retail,pixel art|40 cards,"blaster 1:4"
2025-26 Topps Basketball,,Generation Now,Insert Retail,2007-08 retro|30 cards,"blaster 1:5"
2025-26 Topps Basketball,,Power Players,Insert Retail,20 cards,"blaster 1:7"
2025-26 Topps Basketball,,Clutch City Prospects,Insert Retail,10 cards,"blaster 1:13"
2025-26 Topps Basketball,,Sonic Boom,Insert Retail SSP,ssp|20 cards,"blaster 1:1930; hanger 1:697"
2025-26 Topps Basketball,,Sole Ambition,Insert Retail SSP,ssp|10 cards,"blaster 1:15375; hanger 1:8617"
2025-26 Topps Basketball,,Hidden Gems,Insert SSP,ssp|5 cards|gemstone parallels,
2025-26 Topps Basketball,,Big Box Ballers,Insert Retail,costco super box exclusive|50 cards,"super box 1:6"
2025-26 Topps Basketball,,Limited Stock Legends,Insert Retail,target black friday|50 cards,"blaster 1:8"
2025-26 Topps Basketball,,Scan and Slam,Insert Retail,target black friday|ar enabled|50 cards,blaster exclusive
2025-26 Topps Basketball,,Marks of Excellence Autos,Autograph,autos|38 cards,"hobby 1:203; jumbo 1:52"
2025-26 Topps Basketball,,Contemporary Marks Autos,Autograph,autos|37 cards,"hobby 1:134; jumbo 1:35"
2025-26 Topps Basketball,,Havoc Marks Autos,Autograph,autos|19 cards,"hobby 1:442; jumbo 1:113"
2025-26 Topps Basketball,,Flagship Real One Autos,Autograph,autos|42 cards,"hobby 1:3154; jumbo 1:782; blaster 1:7276"
2025-26 Topps Basketball,,1980-81 Topps Autos,Autograph,autos|44 cards,"hobby 1:2582; jumbo 1:640; blaster 1:5956"
2025-26 Topps Basketball,,Rookie Photo Shoot Autos,Autograph,autos|40 cards,"hobby 1:2781; jumbo 1:690; blaster 1:6416"
2025-26 Topps Basketball,,Flagship Real One Rookie Autos,Autograph,rookie autos|39 cards,"hobby 1:2864; jumbo 1:711; blaster 1:6608"
2025-26 Topps Basketball,,1980-81 Topps Rookie Autos,Autograph,rookie autos|40 cards,"hobby 1:2763; jumbo 1:685; blaster 1:6374"
2025-26 Topps Basketball,,Rookie Photo Shoot Duals,Autograph SSP,dual autos|10 cards,"hobby 1:172200; jumbo 1:42694; blaster 1:397320"
2025-26 Topps Basketball,,1980-81 Triple Autos,Autograph SSP,triple autos|10 cards,"hobby 1:172200; jumbo 1:42694; blaster 1:397320"
2025-26 Topps Basketball,,Topps Chrome Mojos,Autograph/Insert,mojo|silver pack exclusive,
2025-26 Topps Basketball,,Retail Rush Signatures,Autograph Retail,autos|50 cards,"blaster 1:1619"
2025-26 Topps Basketball,,Shopping Spree Signatures,Autograph Retail,autos|39 cards,"blaster 1:1619"
2025-26 Topps Basketball,,New Applicants Autos,Autograph Retail,autos|38 cards,"blaster 1:420"
2025-26 Topps Basketball,,Topps Notch Autos,Autograph Retail,autos|38 cards,"blaster 1:420"
2025-26 Topps Basketball,,Signed & Sealed,Autograph Retail,autos|19 cards,"blaster 1:2158"
2025-26 Topps Basketball,,Social Media Follow Back Redemptions,Autograph 1/1,redemption|10 cards|1/1,"hobby 1:482160"
2025-26 Topps Basketball,,Rise to the Occasion Relics,Relic,rookie jerseys|39 cards,"hobby 1:181; jumbo 1:46"
2025-26 Topps Basketball,,Own the Game Relics,Relic,veteran/legend swatches|40 cards,"hobby 1:202; jumbo 1:52"
2025-26 Topps Basketball,,Rookie Roundball Remnants,Relic,draft memorabilia|20 cards,"hobby 1:352; jumbo 1:90"
2025-26 Topps Basketball,,Flagship Real One Relics,Relic,windowed|50 cards,"hobby 1:1378; jumbo 1:342; blaster 1:3179"
2025-26 Topps Basketball,,Franchise Fabrics,Relic Retail,retail|39 cards,"blaster 1:141"
2025-26 Topps Basketball,,Swish & Stitch,Relic Retail,retail|40 cards,"blaster 1:482"
2025-26 Topps Basketball,,Woven Wonders,Relic,woven jersey|20 cards,"hobby 1:853; jumbo 1:822; blaster 1:441"
2025-26 Topps Basketball,,Retail Ripper Patches,Relic Retail,patches|blaster exclusive,
2025-26 Topps Basketball,,Store Exclusives Relics,Relic Retail,relics|blaster exclusive,
